EmployeeNumber,Age,Gender,Education,EducationField,MaritalStatus,JobRole,JobLevel,Department,MonthlyIncome,PercentSalaryHike,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,StandardHours,OverTime,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TrainingTimesLastYear,YearsSinceLastPromotion,DistanceFromHome,WorkLifeBalance,BusinessTravel,Churn
28,34,Female,4,Life Sciences,Single,Research Director,3,Research & Development,11994,11,3,2,1,3,3,80,No,0,13,12,4,11,7,2,3,6,Travel_Rarely,No
30,21,Male,2,Life Sciences,Single,Research Scientist,1,Research & Development,1232,14,3,4,3,4,3,80,No,1,0,0,6,0,15,0,3,0,Travel_Rarely,No
31,34,Male,1,Medical,Single,Research Scientist,1,Research & Development,2960,11,3,1,2,3,3,80,No,2,8,4,2,3,6,1,3,2,Travel_Rarely,Yes
32,53,Female,3,Other,Divorced,Manager,5,Research & Development,19094,11,3,3,3,4,3,80,No,4,26,14,3,8,5,4,2,13,Travel_Rarely,No
33,32,Female,1,Life Sciences,Single,Research Scientist,1,Research & Development,3919,22,1,1,2,2,4,80,Yes,1,10,10,5,7,16,6,3,2,Travel_Frequently,Yes
35,42,Male,4,Marketing,Married,Sales Executive,2,Sales,6825,11,3,2,3,4,3,80,No,0,10,9,2,2,8,4,3,7,Travel_Rarely,No
36,44,Female,4,Medical,Married,Healthcare Representative,3,Research & Development,10248,14,2,4,1,4,3,80,No,3,24,22,4,17,7,5,3,6,Travel_Rarely,No
38,46,Female,4,Marketing,Single,Manager,5,Sales,18947,12,3,1,2,4,3,80,No,3,22,2,2,1,2,2,2,2,Travel_Rarely,No
39,33,Male,3,Medical,Single,Laboratory Technician,1,Research & Development,2496,11,3,4,3,4,3,80,No,4,7,1,3,0,2,0,3,1,Travel_Rarely,No
40,44,Male,4,Other,Married,Healthcare Representative,2,Research & Development,6465,13,3,4,4,4,3,80,Yes,2,9,4,5,3,10,1,4,2,Travel_Rarely,No
41,30,Male,2,Medical,Single,Laboratory Technician,1,Research & Development,2206,13,2,3,4,1,3,80,No,1,10,10,5,8,9,1,3,0,Travel_Rarely,No
42,39,Male,3,Technical Degree,Married,Sales Representative,2,Sales,2086,14,3,4,4,3,3,80,No,3,19,1,6,0,5,0,4,0,Travel_Rarely,Yes
45,24,Male,3,Medical,Married,Research Scientist,1,Research & Development,2293,16,3,4,2,1,3,80,Yes,2,6,2,2,0,1,2,2,0,Travel_Rarely,Yes
46,43,Female,2,Medical,Divorced,Research Scientist,1,Research & Development,2645,12,4,3,4,4,3,80,No,1,6,5,3,4,2,1,2,3,Travel_Rarely,No
47,50,Male,2,Marketing,Married,Sales Representative,1,Sales,2683,14,2,3,1,3,3,80,Yes,1,3,3,2,2,3,0,3,2,Travel_Rarely,Yes
49,35,Female,3,Marketing,Married,Sales Representative,1,Sales,2014,13,3,4,4,1,3,80,No,1,2,2,3,2,2,2,3,2,Travel_Rarely,No
51,36,Female,4,Life Sciences,Married,Research Scientist,1,Research & Development,3419,14,2,1,2,4,3,80,Yes,9,6,1,3,0,5,0,4,1,Travel_Rarely,No
52,33,Female,3,Life Sciences,Married,Sales Executive,2,Sales,5376,19,4,1,3,1,3,80,No,2,10,5,3,3,1,1,3,3,Travel_Frequently,No
53,35,Male,2,Other,Divorced,Laboratory Technician,1,Research & Development,1951,12,3,4,3,3,3,80,No,1,1,1,3,0,4,0,3,0,Travel_Rarely,No
54,27,Female,4,Life Sciences,Divorced,Laboratory Technician,1,Research & Development,2341,13,3,1,4,4,3,80,No,1,1,1,6,0,2,0,3,0,Travel_Rarely,No
55,26,Male,3,Life Sciences,Single,Laboratory Technician,1,Research & Development,2293,12,1,3,1,3,3,80,No,1,1,1,2,1,25,0,2,0,Travel_Rarely,Yes
56,27,Male,3,Life Sciences,Single,Sales Executive,3,Sales,8726,15,3,3,4,4,3,80,No,1,9,9,0,7,8,1,3,8,Travel_Frequently,No
57,30,Female,2,Medical,Single,Laboratory Technician,2,Research & Development,4011,23,3,4,3,4,4,80,No,1,12,12,2,7,1,3,3,8,Travel_Frequently,No
58,41,Female,3,Technical Degree,Married,Research Director,5,Research & Development,19545,12,3,3,2,4,3,80,No,1,23,22,0,8,12,15,3,15,Travel_Rarely,Yes
60,34,Male,4,Marketing,Single,Sales Executive,2,Sales,4568,20,3,3,2,3,4,80,No,0,10,9,2,7,23,8,3,5,Non-Travel,No
61,37,Male,2,Life Sciences,Married,Research Scientist,1,Research & Development,3022,21,3,2,2,1,4,80,No,4,8,1,1,0,19,0,3,0,Travel_Rarely,No
62,46,Male,4,Marketing,Single,Sales Executive,2,Sales,5772,21,3,4,1,3,4,80,Yes,4,14,9,4,8,5,0,3,6,Travel_Frequently,No
63,35,Male,1,Life Sciences,Married,Laboratory Technician,1,Research & Development,2269,19,4,4,4,4,3,80,No,1,1,1,2,1,8,0,3,0,Travel_Rarely,No
64,48,Male,2,Life Sciences,Single,Laboratory Technician,3,Research & Development,5381,13,2,3,1,4,3,80,Yes,9,23,1,2,0,1,0,3,0,Travel_Rarely,Yes
65,28,Male,4,Technical Degree,Single,Laboratory Technician,1,Research & Development,3441,13,3,3,3,3,3,80,Yes,1,2,2,3,2,5,2,2,2,Travel_Rarely,Yes
68,44,Female,5,Marketing,Divorced,Sales Executive,2,Sales,5454,21,3,1,2,3,4,80,Yes,5,9,4,2,3,1,1,2,3,Travel_Rarely,No
70,35,Male,2,Medical,Married,Healthcare Representative,3,Research & Development,9884,13,2,1,3,3,3,80,Yes,2,10,4,3,3,11,2,3,0,Non-Travel,No
72,26,Female,3,Marketing,Married,Sales Executive,2,Sales,4157,19,2,4,3,3,3,80,Yes,7,5,2,2,0,23,0,2,2,Travel_Rarely,No
73,33,Female,2,Life Sciences,Single,Research Director,3,Research & Development,13458,12,3,4,1,3,3,80,Yes,1,15,15,1,12,1,8,3,14,Travel_Frequently,No
74,35,Male,5,Life Sciences,Married,Sales Executive,3,Sales,9069,22,3,1,2,4,4,80,No,1,9,9,3,8,18,1,2,8,Travel_Frequently,No
75,35,Female,4,Medical,Married,Laboratory Technician,1,Research & Development,4014,15,3,1,3,3,3,80,Yes,3,4,2,3,2,23,2,3,2,Travel_Rarely,No
76,31,Male,4,Life Sciences,Divorced,Laboratory Technician,2,Research & Development,5915,22,3,4,4,4,4,80,No,3,10,7,3,7,7,1,2,7,Travel_Rarely,No
77,37,Male,4,Life Sciences,Divorced,Manufacturing Director,2,Research & Development,5993,18,2,3,1,3,3,80,No,1,7,7,2,7,1,0,4,5,Travel_Rarely,No
78,32,Male,3,Medical,Married,Manufacturing Director,2,Research & Development,6162,22,3,4,1,2,4,80,Yes,1,9,9,3,8,1,7,3,8,Travel_Rarely,No
79,38,Female,5,Life Sciences,Single,Laboratory Technician,2,Research & Development,2406,11,3,4,4,4,3,80,No,1,10,10,2,9,29,9,3,3,Travel_Frequently,No
80,50,Female,2,Medical,Divorced,Research Director,5,Research & Development,18740,12,2,3,2,4,3,80,Yes,5,29,27,2,8,7,13,2,3,Travel_Rarely,No
81,59,Female,3,Life Sciences,Single,Sales Executive,3,Sales,7637,11,3,1,1,4,3,80,No,7,28,21,3,9,25,7,2,16,Travel_Rarely,No
83,36,Female,3,Technical Degree,Divorced,Healthcare Representative,3,Research & Development,10096,13,3,3,3,2,3,80,No,1,17,17,2,8,8,12,3,14,Travel_Rarely,No
84,55,Female,3,Medical,Divorced,Manager,4,Research & Development,14756,14,3,3,4,3,3,80,Yes,2,21,5,2,2,8,0,3,0,Travel_Rarely,No
85,36,Male,3,Life Sciences,Single,Manufacturing Director,2,Research & Development,6499,13,2,2,2,3,3,80,No,1,6,6,3,3,11,0,3,5,Travel_Frequently,No
86,45,Male,3,Life Sciences,Divorced,Research Scientist,3,Research & Development,9724,17,3,1,2,3,3,80,No,2,25,1,2,0,7,0,3,0,Travel_Rarely,No
88,35,Male,3,Medical,Married,Research Scientist,1,Research & Development,2194,13,3,1,2,4,3,80,No,4,5,3,2,2,1,1,2,2,Travel_Frequently,No
90,36,Male,3,Medical,Married,Research Scientist,1,Research & Development,3388,17,2,3,4,1,3,80,Yes,0,2,1,0,0,9,0,2,0,Travel_Rarely,Yes
91,59,Female,1,Life Sciences,Single,Sales Executive,2,Sales,5473,11,2,3,1,4,3,80,No,7,20,4,2,3,1,1,2,3,Travel_Frequently,No
94,29,Male,3,Life Sciences,Married,Research Scientist,1,Research & Development,2703,23,3,2,3,4,4,80,No,0,6,5,3,4,2,0,3,4,Travel_Rarely,No
95,31,Male,4,Medical,Single,Research Scientist,1,Research & Development,2501,17,3,2,3,2,3,80,No,1,1,1,4,0,1,1,3,1,Travel_Rarely,No
96,32,Male,3,Life Sciences,Married,Research Scientist,2,Research & Development,6220,17,3,2,2,2,3,80,No,1,10,10,3,9,1,0,3,4,Travel_Rarely,No
97,36,Female,3,Life Sciences,Married,Laboratory Technician,1,Research & Development,3038,12,4,4,2,2,3,80,No,3,5,1,3,0,6,0,3,0,Travel_Rarely,No
98,31,Female,4,Life Sciences,Single,Manufacturing Director,2,Research & Development,4424,23,3,4,3,4,4,80,No,1,11,11,2,8,8,1,3,7,Travel_Rarely,No
100,35,Male,4,Marketing,Single,Sales Executive,2,Sales,4312,14,2,1,3,2,3,80,No,0,16,15,2,8,1,2,3,13,Travel_Rarely,No
101,45,Male,4,Other,Married,Research Director,3,Research & Development,13245,14,3,1,4,2,3,80,Yes,4,17,0,3,0,6,0,4,0,Travel_Rarely,No
102,37,Male,4,Medical,Single,Research Director,3,Research & Development,13664,13,3,3,1,1,3,80,No,4,16,5,3,2,7,0,4,2,Travel_Rarely,No
103,46,Male,2,Medical,Divorced,Human Resources,2,Human Resources,5021,22,3,2,2,4,4,80,Yes,8,16,4,2,2,5,0,3,2,Travel_Rarely,No
104,30,Male,1,Life Sciences,Married,Laboratory Technician,2,Research & Development,5126,12,2,4,4,3,3,80,Yes,1,10,10,1,0,1,3,2,8,Travel_Rarely,No
105,35,Male,3,Medical,Single,Research Scientist,1,Research & Development,2859,18,2,3,2,1,3,80,No,1,6,6,3,4,1,0,3,4,Travel_Rarely,No
106,55,Male,2,Life Sciences,Married,Sales Executive,3,Sales,10239,14,3,4,1,4,3,80,No,3,24,1,4,0,1,1,3,0,Travel_Rarely,No
107,38,Female,3,Medical,Divorced,Research Scientist,2,Research & Development,5329,12,1,4,2,4,3,80,Yes,7,17,13,3,9,6,1,3,11,Non-Travel,No
110,34,Male,2,Medical,Married,Manufacturing Director,2,Research & Development,4325,15,3,2,1,3,3,80,No,1,5,5,2,3,1,1,3,2,Travel_Rarely,No
112,56,Male,3,Life Sciences,Single,Manufacturing Director,3,Research & Development,7260,11,1,4,4,1,3,80,No,4,37,6,3,2,7,0,2,4,Travel_Rarely,No
113,23,Male,1,Technical Degree,Divorced,Sales Representative,1,Sales,2322,13,3,1,3,3,3,80,No,3,3,0,3,0,2,0,3,0,Travel_Rarely,No
116,51,Male,4,Life Sciences,Married,Laboratory Technician,1,Research & Development,2075,23,3,4,4,2,4,80,No,3,10,4,4,3,9,0,3,2,Travel_Rarely,No
117,30,Male,3,Life Sciences,Married,Healthcare Representative,2,Research & Development,4152,19,2,4,3,1,3,80,No,1,11,11,3,8,2,10,3,10,Travel_Rarely,No
118,46,Male,2,Medical,Single,Sales Executive,3,Sales,9619,16,2,4,3,4,3,80,No,1,9,9,3,7,9,4,3,8,Travel_Rarely,Yes
119,40,Male,4,Life Sciences,Married,Healthcare Representative,4,Research & Development,13503,22,2,2,3,4,4,80,No,1,22,22,3,11,1,11,2,3,Travel_Frequently,No
120,51,Male,4,Marketing,Single,Sales Executive,2,Sales,5441,22,3,4,3,4,4,80,Yes,0,11,10,2,0,21,1,1,7,Travel_Rarely,No
121,30,Female,2,Medical,Divorced,Sales Executive,2,Sales,5209,12,2,2,3,2,3,80,Yes,1,11,11,4,7,4,2,2,8,Travel_Rarely,No
124,46,Male,3,Medical,Married,Healthcare Representative,3,Research & Development,10673,13,2,1,3,3,3,80,Yes,2,21,10,5,5,1,9,2,9,Travel_Frequently,No
125,32,Male,4,Medical,Single,Sales Executive,2,Sales,5010,16,3,3,2,1,3,80,No,1,12,11,0,7,6,5,3,8,Travel_Rarely,No
126,54,Female,4,Technical Degree,Married,Research Director,3,Research & Development,13549,12,3,3,1,1,3,80,No,9,16,4,5,3,2,0,1,3,Travel_Rarely,No
128,24,Female,2,Other,Married,Sales Executive,2,Sales,4999,21,3,3,1,1,4,80,No,0,4,3,2,2,3,0,2,2,Travel_Rarely,No
129,28,Male,3,Medical,Married,Sales Executive,2,Sales,4221,15,3,3,2,2,3,80,No,1,5,5,3,4,4,0,4,4,Non-Travel,No
131,58,Male,4,Medical,Single,Sales Executive,4,Sales,13872,13,3,3,4,3,3,80,No,0,38,37,1,8,10,1,2,10,Travel_Rarely,No
132,44,Male,3,Medical,Married,Laboratory Technician,2,Research & Development,2042,12,3,2,2,3,3,80,No,4,17,3,3,2,23,1,4,2,Non-Travel,No
133,37,Male,4,Human Resources,Divorced,Human Resources,1,Human Resources,2073,22,3,1,3,4,4,80,Yes,4,7,3,3,2,6,0,3,2,Travel_Rarely,Yes
134,32,Male,1,Life Sciences,Single,Research Scientist,1,Research & Development,2956,13,3,1,4,4,3,80,No,1,1,1,2,0,1,0,3,0,Travel_Rarely,No
137,20,Female,3,Life Sciences,Single,Laboratory Technician,1,Research & Development,2926,18,2,4,4,2,3,80,Yes,1,1,1,5,0,6,1,3,0,Travel_Frequently,Yes
138,34,Female,4,Other,Single,Research Scientist,2,Research & Development,4809,14,3,3,1,3,3,80,No,1,16,16,3,10,6,2,3,13,Travel_Rarely,No
139,37,Male,2,Life Sciences,Divorced,Healthcare Representative,2,Research & Development,5163,14,2,4,3,4,3,80,No,5,17,1,2,0,2,0,4,0,Non-Travel,No
140,59,Female,4,Human Resources,Married,Manager,5,Human Resources,18844,21,2,4,3,4,4,80,No,9,30,3,3,2,2,2,3,2,Non-Travel,No
141,50,Female,3,Life Sciences,Married,Research Director,5,Research & Development,18172,19,3,2,1,1,3,80,Yes,3,28,8,1,7,1,0,2,3,Travel_Frequently,No
142,25,Male,3,Marketing,Single,Sales Executive,2,Sales,5744,11,2,3,3,4,3,80,Yes,1,6,6,1,3,5,0,3,4,Travel_Rarely,Yes
143,25,Male,1,Medical,Married,Research Scientist,1,Research & Development,2889,11,2,4,4,3,3,80,No,1,2,2,2,1,7,2,3,2,Travel_Rarely,No
144,22,Female,3,Medical,Single,Laboratory Technician,1,Research & Development,2871,15,3,4,2,3,3,80,No,1,1,0,5,0,15,0,3,0,Travel_Rarely,No
145,51,Female,4,Medical,Single,Healthcare Representative,3,Research & Development,7484,20,2,1,1,3,4,80,No,3,23,13,1,8,1,12,2,12,Travel_Frequently,No
147,34,Male,3,Life Sciences,Single,Laboratory Technician,2,Research & Development,6074,24,1,3,1,4,4,80,Yes,1,9,9,3,6,7,0,3,7,Travel_Frequently,Yes
148,54,Female,3,Human Resources,Single,Manager,4,Human Resources,17328,12,4,4,4,3,3,80,Yes,2,23,5,3,4,26,4,3,3,Non-Travel,No
150,24,Male,1,Life Sciences,Married,Laboratory Technician,1,Research & Development,2774,12,3,3,2,3,3,80,No,0,6,5,2,2,18,1,3,3,Travel_Rarely,No
151,34,Female,4,Life Sciences,Divorced,Research Scientist,2,Research & Development,4505,15,2,2,3,3,3,80,No,6,12,1,3,0,6,0,3,0,Travel_Rarely,No
152,37,Male,3,Life Sciences,Single,Sales Executive,3,Sales,7428,12,3,4,3,1,3,80,No,2,12,5,3,3,3,1,3,3,Travel_Rarely,No
153,34,Female,3,Medical,Single,Manager,3,Research & Development,11631,12,2,1,3,4,3,80,No,2,14,11,6,8,5,5,3,10,Travel_Rarely,No
154,36,Female,2,Technical Degree,Married,Sales Executive,3,Sales,9738,14,3,4,2,3,3,80,No,0,10,9,6,8,11,2,3,7,Travel_Frequently,No
155,36,Female,2,Life Sciences,Divorced,Laboratory Technician,1,Research & Development,2835,22,3,4,1,1,4,80,No,5,7,1,2,0,3,0,3,0,Travel_Rarely,No
158,43,Male,2,Life Sciences,Married,Manager,4,Sales,16959,12,3,4,3,4,3,80,Yes,1,25,25,3,12,26,4,4,12,Travel_Frequently,No
159,30,Male,3,Life Sciences,Divorced,Research Scientist,1,Research & Development,2613,25,1,3,1,3,4,80,No,1,10,10,2,9,23,0,2,7,Travel_Frequently,No
160,33,Male,2,Marketing,Married,Sales Executive,2,Sales,6146,13,3,2,3,1,3,80,No,0,8,7,2,7,22,0,4,7,Non-Travel,No
161,56,Female,4,Life Sciences,Married,Research Scientist,1,Research & Development,4963,18,3,2,2,1,3,80,Yes,9,7,5,2,3,14,4,3,4,Travel_Rarely,Yes
162,51,Male,3,Life Sciences,Single,Research Director,5,Research & Development,19537,13,3,3,1,3,3,80,No,7,23,20,5,15,6,15,3,18,Travel_Rarely,No
163,31,Male,4,Life Sciences,Married,Sales Executive,2,Sales,6172,18,1,3,2,2,3,80,Yes,4,12,7,3,7,6,7,2,7,Travel_Rarely,Yes
164,26,Female,3,Other,Married,Research Scientist,1,Research & Development,2368,19,2,2,3,3,3,80,No,1,5,5,3,3,6,4,2,4,Travel_Rarely,No
165,58,Female,4,Medical,Married,Healthcare Representative,3,Research & Development,10312,12,3,4,4,4,3,80,No,1,40,40,3,6,23,15,2,10,Travel_Rarely,Yes
167,19,Male,1,Marketing,Single,Sales Representative,1,Sales,1675,19,3,3,4,4,3,80,Yes,1,0,0,2,0,22,0,2,0,Travel_Rarely,Yes
169,22,Male,1,Technical Degree,Married,Laboratory Technician,1,Research & Development,2523,14,3,4,3,3,3,80,No,0,3,2,2,1,2,2,3,1,Travel_Rarely,No
170,49,Female,4,Medical,Married,Manufacturing Director,2,Research & Development,6567,14,3,1,3,3,3,80,No,1,16,15,2,11,20,5,2,11,Travel_Rarely,No
171,43,Female,3,Medical,Single,Research Scientist,1,Research & Development,4739,12,4,3,2,4,3,80,No,4,18,3,2,2,28,1,3,2,Travel_Frequently,No
174,50,Female,3,Marketing,Single,Sales Executive,3,Sales,9208,11,3,4,3,4,3,80,No,4,16,2,3,1,12,2,3,2,Travel_Frequently,No
175,31,Female,3,Life Sciences,Married,Sales Executive,2,Sales,4559,11,1,3,2,3,3,80,Yes,3,4,2,2,2,20,2,3,2,Travel_Rarely,Yes
176,41,Male,1,Life Sciences,Divorced,Sales Executive,3,Sales,8189,13,3,3,3,3,3,80,Yes,3,12,9,2,7,9,0,3,7,Travel_Rarely,No
177,26,Female,1,Life Sciences,Married,Human Resources,1,Human Resources,2942,23,3,3,3,4,4,80,No,1,8,8,3,7,25,5,3,7,Travel_Rarely,No
178,36,Male,2,Medical,Divorced,Manufacturing Director,2,Research & Development,4941,20,3,2,2,4,4,80,No,6,7,3,0,1,6,0,3,2,Travel_Rarely,No
179,51,Male,4,Life Sciences,Single,Manufacturing Director,3,Research & Development,10650,15,1,4,1,4,3,80,No,2,18,4,2,3,8,0,3,2,Travel_Frequently,Yes
182,39,Female,4,Life Sciences,Married,Sales Executive,2,Sales,5902,14,2,3,4,3,3,80,No,4,17,15,1,9,4,5,4,11,Travel_Rarely,No
183,25,Male,3,Life Sciences,Married,Sales Executive,2,Sales,8639,18,2,3,1,4,3,80,No,2,6,2,3,2,28,2,3,2,Travel_Rarely,No
184,30,Male,3,Human Resources,Married,Human Resources,2,Human Resources,6347,19,3,4,3,4,3,80,Yes,0,12,11,2,7,9,4,1,9,Travel_Rarely,No
190,32,Female,3,Medical,Single,Laboratory Technician,1,Research & Development,4200,22,3,1,1,1,4,80,No,7,10,5,2,4,9,0,4,4,Travel_Rarely,Yes
192,45,Male,3,Medical,Single,Research Scientist,1,Research & Development,3452,13,3,4,3,2,3,80,No,5,9,6,2,3,29,0,2,5,Travel_Rarely,No
193,38,Female,5,Technical Degree,Single,Research Scientist,2,Research & Development,4317,20,3,3,4,2,4,80,Yes,3,19,3,2,2,3,2,3,2,Travel_Rarely,No
194,30,Female,3,Life Sciences,Single,Research Scientist,1,Research & Development,2632,14,3,3,1,3,3,80,No,1,5,5,4,4,18,0,2,4,Travel_Rarely,No
195,32,Male,2,Medical,Divorced,Sales Executive,2,Sales,4668,17,1,4,4,4,3,80,No,0,9,8,2,7,9,0,4,7,Travel_Frequently,No
197,30,Female,3,Technical Degree,Divorced,Research Scientist,1,Research & Development,3204,14,3,1,4,4,3,80,No,5,8,3,3,2,5,2,3,2,Travel_Rarely,No
198,30,Male,1,Medical,Single,Laboratory Technician,1,Research & Development,2720,13,2,4,2,4,3,80,No,0,6,5,3,2,2,1,3,3,Travel_Rarely,No
199,41,Male,3,Life Sciences,Divorced,Manager,4,Research & Development,17181,13,2,1,4,2,3,80,No,4,21,7,2,7,10,7,2,6,Travel_Frequently,No
200,41,Male,4,Life Sciences,Married,Laboratory Technician,1,Research & Development,2238,21,3,1,3,4,4,80,No,2,7,5,2,4,9,1,3,0,Travel_Rarely,No
201,19,Female,1,Medical,Single,Laboratory Technician,1,Research & Development,1483,14,3,2,2,4,3,80,No,1,1,1,3,0,3,0,3,0,Travel_Rarely,No
202,40,Female,3,Medical,Divorced,Research Scientist,2,Research & Development,5605,11,3,2,2,1,3,80,No,1,20,20,2,13,26,2,3,7,Travel_Frequently,No
204,35,Male,5,Marketing,Married,Sales Executive,3,Sales,7295,13,3,2,3,1,3,80,No,1,10,10,3,6,1,0,3,8,Travel_Rarely,No
205,53,Male,2,Marketing,Married,Sales Representative,2,Sales,2306,20,3,3,2,4,4,80,Yes,2,13,7,3,5,6,4,1,7,Travel_Rarely,No
206,45,Male,3,Life Sciences,Divorced,Laboratory Technician,2,Research & Development,2348,18,3,2,2,3,3,80,No,8,20,17,2,15,9,0,1,9,Travel_Rarely,No
207,32,Female,3,Marketing,Single,Sales Executive,3,Sales,8998,14,3,4,2,4,3,80,No,1,9,9,2,7,8,3,3,8,Travel_Frequently,No
208,29,Male,1,Technical Degree,Married,Manufacturing Director,2,Research & Development,4319,13,3,3,4,1,3,80,No,1,10,10,1,9,1,0,3,7,Non-Travel,No
211,51,Male,4,Medical,Married,Manufacturing Director,2,Research & Development,6132,17,2,3,2,3,3,80,No,2,10,1,2,0,7,0,3,0,Travel_Rarely,No
214,58,Female,3,Medical,Married,Research Scientist,1,Research & Development,3346,20,2,2,2,2,4,80,Yes,4,9,1,3,0,9,0,2,0,Travel_Rarely,No
215,40,Male,4,Marketing,Married,Sales Executive,3,Sales,10855,11,2,4,3,1,3,80,No,7,15,12,2,11,4,2,2,11,Travel_Rarely,No
216,34,Female,4,Marketing,Married,Sales Representative,1,Sales,2231,18,3,3,3,4,3,80,No,6,6,4,3,2,2,1,3,3,Travel_Frequently,No
217,22,Male,1,Medical,Married,Research Scientist,1,Research & Development,2323,24,3,4,3,1,4,80,No,1,2,2,6,2,19,2,3,2,Travel_Rarely,No
218,27,Male,3,Medical,Divorced,Research Scientist,1,Research & Development,2024,18,3,2,4,4,3,80,No,6,6,2,1,2,9,2,1,2,Non-Travel,No
221,28,Male,3,Medical,Married,Research Scientist,1,Research & Development,2713,11,3,4,3,3,3,80,No,1,5,5,2,2,21,0,1,2,Travel_Rarely,No
223,57,Male,2,Life Sciences,Divorced,Healthcare Representative,3,Research & Development,9439,16,4,4,3,2,3,80,Yes,3,12,5,2,4,24,1,1,3,Travel_Rarely,No
224,27,Male,3,Medical,Divorced,Research Scientist,1,Research & Development,2566,15,2,3,3,4,3,80,Yes,1,1,1,2,1,3,0,2,1,Non-Travel,No
